business_name,city,website,email,finding_1,finding_2,email_sent,sent_date,replied,converted
New Wave Dentistry,Brooklyn (Bay Ridge),newwavedentistry.com,nwd522@gmail.com,No Russian-speaking or Spanish-speaking staff attribute despite Bay Ridge demographics,Listed under single category — invisible for Cosmetic Dentist searches,true,2026-04-08,,
Court Square Dentistry,Queens (Long Island City),courtsquaredentistry.com,CourtSquareDentistry@gmail.com,Single category listing — invisible for Cosmetic Dentist & Emergency Dentist LIC searches,Minimal photos for a high-foot-traffic LIC location,true,2026-04-08,,
South Brooklyn Dentist,Brooklyn (Carroll Gardens),southbrooklyndentist.com,reception@southbrooklyndentist.com,Has periodontist & endodontist on staff but no secondary category listings for those specialties,Low photo count for a multi-specialist 100-year-old practice,true,2026-04-08,,
Park Dental BK,Brooklyn (Bushwick),parkdentalbk.com,parkdentalcarebk@gmail.com,No Spanish-speaking staff attribute despite Bushwick being majority Spanish-speaking,Offers implants/Invisalign/whitening but listed under single category,true,2026-04-08,,
Elmhurst Dental Arts,Queens (Elmhurst),elmhurstdentalarts.com,elmhurstdentalartz@gmail.com,Single Dentist category despite offering implants/Invisalign/cosmetic/emergency — invisible for specialty searches,No Spanish-speaking staff attribute in one of Queens' most Spanish-speaking zip codes,true,2026-04-10,,
Jamaica Smiles Dental,Queens (Jamaica),jamaicasmilesdental.com,doctorp@hughdparker.com,Single Dentist category — invisible for cosmetic dentist and emergency dentist searches in Jamaica,No Spanish-speaking staff attribute despite large Spanish-speaking population in Jamaica,true,2026-04-13,,
Forest Hills Dental,Queens (Forest Hills),foresthillsdental.com,info@foresthillsdental.com,Strong cosmetic practice (veneers/smile makeovers) but likely single Dentist category — invisible for cosmetic dentist searches,Offers sleep apnea treatment with zero competitors claiming it in the area — unclaimed high-value category,true,2026-04-10,,
Metropolitan Family Dental PC,Queens (Middle Village),dentistmiddlevillage.com,dentistmiddlevillage@gmail.com,Implants and full cosmetic work but likely single Dentist category — invisible for implant/cosmetic searches,No language attributes for Italian/Eastern European patient base in Middle Village,true,2026-04-10,,
Boutique Dental,Queens (Glendale),boutiquedentalny.com,smiles@boutiquedentalny.com,Offers Invisalign/Zoom/implants but likely single Dentist category — invisible for cosmetic dentist and whitening searches,Russian-speaking doctor with no Russian-speaking staff attribute — patients filtering for that go elsewhere,true,2026-04-10,,
Mamkin Dentistry,Queens (Ridgewood),mamkindentistry.com,info@mamkindentistry.com,Single Dentist category — invisible for Cosmetic Dentist and Dental Implants searches in Ridgewood,No Russian-speaking staff attribute on Google profile — high-value gap in Queens/Maspeth corridor,true,2026-04-13,,
Precision Dental NYC,Queens (Astoria/Bayside),precisiondentalnyc.com,info@precisiondentalnyc.com,Single Dentist category — invisible for Cosmetic Dentist and Emergency Dentist searches in Astoria/Bayside,No multilingual staff tags for Greek/Spanish/Eastern European patient base in Astoria,true,2026-04-13,,
Astoria Family Orthodontics,Queens (Astoria),astoriafamilyorthodontics.com,astoriafamilyorthodontics@gmail.com,Likely missing Invisalign Provider category on Google listing — invisible for adult Invisalign searches separate from general braces,30-year practice with very few photos — newer competitors rank higher on visual trust signals,true,2026-04-13,,
My Smiles Pediatric Dentistry & Orthodontics,Queens (Fresh Meadows),mysmilesny.com,info@mysmilesny.com,Single category listing — invisible for separate Pediatric Dentist and Orthodontist searches in Fresh Meadows,No Russian or Spanish-speaking staff tags for diverse Briarwood/Jamaica Estates patient base,true,2026-04-13,,delivery-failed-550-no-alt-email
Woodside Smile Dental,Queens (Woodside),woodsidesmiledental.com,woodsidesmile@gmail.com,Has periodontist and orthodontist on staff but likely listed under single Dentist category — invisible for those specialty searches,No Spanish-speaking staff attribute in majority Spanish-speaking Woodside neighborhood,true,2026-04-13,,
2026-04-22,Gamma Dental Clinic,gammadentalclinic.com,gammadental@gmail.com,scraped,Missing secondary categories (Cosmetic Dentist), Missing multilingual staff attributes,Sheepshead Bay,No
2026-04-22,LuxDen Dental Center,luxden.com,info@luxden.com,hunter,Missing Cosmetic Dentist / Dental Implants categories, Insufficient photos vs competitors,Sheepshead Bay,No
2026-04-22,Family Smile Dental,familysmiledentist.com,familysmiledental@gmail.com,scraped,Missing service-specific categories (Invisalign), Missing multilingual staff attributes,Sheepshead Bay,No
2026-04-22,Brooklyn Dental Spa,brooklyndentalspa.com,info@brooklyndentalspa.com,scraped,Missing Cosmetic Dentist and Emergency Dentist categories, Insufficient photo count,Crown Heights,No
2026-04-22,Dr. Howard Silver DDS,drhowardsilverdds.com,hsilverdds@verizon.net,scraped,Missing Cosmetic Dentist and Root Canal specialist categories, Missing multilingual staff attributes,Williamsburg,No
Kew Gardens Dental Arts,Queens (Kew Gardens),dentalartskg.com,no-email,Board-certified periodontist on staff but single category — invisible for periodontist/implant searches,Open Sundays for emergencies but missing Emergency Dentist category,true,2026-04-20,bounce-dns-no-mx,no-email
2026-04-24,Dental Avenue Greenpoint,dentalavenuegreenpoint.com,office@dentalavenuegreenpoint.com,hunter,Missing Cosmetic Dentist and Invisalign categories on Google listing, No Russian-speaking staff attribute despite Polish-speaking Greenpoint demographic,Greenpoint,Yes
2026-04-24,Dent-Care Dental,dentcaredentaloffice.com,volkerdds@gmail.com,scraped,Cosmetic dentistry practice (Bioclear/veneers) but listed only as Dentist category, Very few photos vs competing cosmetic practices in Sunnyside,Sunnyside,Yes
2026-04-24,Maspeth Dental (HL),maspethsmiledoc.com,info@maspethsmiledoc.com,scraped,Missing secondary categories (Cosmetic Dentist/Sleep Apnea Specialist), Strong review count (850+) but cosmetic competitors rank higher due to category tags,Maspeth,Yes
2026-04-24,Aesthetic Dental Office,aestheticdentaloffice.com,no-email,Missing secondary categories (Cosmetic Dentist/Dental Implants), No Russian or Polish-speaking staff attribute in Greenpoint,Greenpoint,No
2026-04-24,Maspeth Family Dental Group,dentist-maspeth-queens.com,no-email,Missing secondary categories (Cosmetic Dentist/Sleep Apnea), Strong multi-specialty practice not reflected in Google Maps categories,Maspeth,No
2026-04-27,Dr. Gina Cucchiara Dentistry,drcucchiara.com,Dr.Cucchiara@gmail.com,scraped,Missing secondary categories (Cosmetic Dentist/Dental Implants), Very few photos despite full-service offering,Howard Beach Queens,Yes
2026-04-27,Sunnyside Dental,sunnysidedental.net,sunnysidedental1@gmail.com,scraped,Single category despite offering Invisalign/cosmetic/implants, Missing Spanish-speaking staff attribute on Google profile,Sunnyside Queens,Yes
2026-04-27,Century Medical & Dental Center,centurymedicaldental.com,allaz@centurymedicaldental.com,hunter,Single Dentist category despite multi-specialty practice (endo/oral surgery/cosmetic), Very few photos vs nearby competitors,Gravesend/Manhattan Brooklyn,Yes
