business_name,city,website,email,finding_1,finding_2,email_sent,sent_date,replied,converted,email_source
Levitsky Law Firm PLLC,Brighton Beach Brooklyn,levitskylawfirm.com,dmitry@levitskylawfirm.com,Russian/Spanish/Polish-speaking staff not listed as attributes - invisible to language-filtered searches in Brighton Beach,Missing additional categories (Family Law Attorney / Criminal Defense Attorney) - ranks for fewer searches than smaller competitors,yes,2026-04-04,no,no
Regina Gordon Law Office PLLC,Coney Island Brooklyn,reginagordonlaw.com,info@reginagordonlaw.com,No Google posts on listing - virtually no small business firms post so even one post creates ranking advantage,Missing additional categories (Contract Law / Real Estate Attorney) - invisible for searches that match actual practice areas,yes,2026-04-04,no,no
Brayman Law Firm PLLC,Brighton Beach Brooklyn,braymanlawfirm.com,Office@BraymanLawFirm.com,No Google posts - personal injury firms that post rank above inactive listings for Brighton Beach searches,Russian-speaking staff not listed as attribute - invisible to language-filtered searches in Brighton Beach neighborhood,yes,2026-04-04,no,no
The Stein Law Firm,Brooklyn,lawyer4realestate.com,irenesteinesq@gmail.com,No Google posts - real estate attorneys who post rank above inactive profiles for Brooklyn co-op and condo searches,Listing shows only one category - missing Real Estate Consultant and Conveyancer categories means fewer search matches,yes,2026-04-04,no,no
Law Offices of Roman Aminov,Queens/Brooklyn/NYC,aminovlaw.com,roman@aminovlaw.com,Missing additional practice area categories (Elder Law / Medicaid Planning Attorney) - invisible for high-intent searches,No Google posts - competitors who post rank above inactive listings in estate law,yes,2026-04-22,no,no,hunter
Law Office of Sofia Balile,Brooklyn,balilelaw.com,sofia@balilelaw.com,Missing practice area categories (Divorce Attorney / Real Estate Attorney) - limits searches ranked for,No Google posts - family law firms that post rank above inactive profiles,yes,2026-04-22,no,no,hunter
St. Clair & Associates PLLC,Brooklyn,stclairlaw.com,saintlaw@gmail.com,Missing Elder Law Attorney and Medicaid Attorney categories - invisible for those high-intent searches,No Google posts - almost no estates attorneys post so one post creates ranking advantage,yes,2026-04-22,no,no,scraped
Jessica Wilson Law,Manhattan,jessicawilsonlaw.com,jwilson@jessicawilsonlaw.com,Missing additional categories (Elder Law / Medicaid / Special Needs Planning Attorney) - invisible for those specific searches,No Google posts - estate and elder law firms rarely post so even one post creates ranking advantage,yes,2026-04-22,no,no,scraped
Law Offices of Yang and Partners,Manhattan/Brooklyn,lawofficesofyangandpartners.com,Manhattanlaw888@gmail.com,Mandarin/Cantonese-speaking staff not listed as attribute - invisible to language-filtered searches on Maps,No Google posts - listing appears dormant vs posting competitors,yes,2026-04-22,no,no,scraped
Jules M. Haas,Manhattan,juleshaasattorney.com,jules.haas@verizon.net,No posts on listing - estate attorneys rarely post so even one post signals activity and outranks inactive profiles,Missing Guardianship Attorney and Real Estate Attorney as additional categories - invisible for specific searches,yes,2026-04-24,no,no,scraped
Connors & Sullivan,Brooklyn,connorsandsullivan.com,janet.kassar@connorsandsullivan.com,No posts on listing - real estate attorneys who post rank above inactive profiles for Bay Ridge searches,Free Consultation and Online Appointments attributes not on profile - competitors with these show in filter searches yours doesn't,yes,2026-04-24,no,no,hunter
Antonelli & Antonelli,Manhattan,antonelli-legal.com,samantha@antonelli-legal.com,No posts on listing - estate attorneys rarely post so even one post signals activity and outranks inactive listings,Elder Law Attorney missing as additional category - invisible for elder law specific searches in NYC,yes,2026-04-24,no,no,hunter
Morgan Legal Group,Manhattan,morganlegalny.com,rmorgan@morganlegalny.com,Free Consultation attribute not listed on profile - competitors with it appear in filter searches yours doesn't,No posts on listing - estate and probate attorneys who post rank above inactive profiles for NYC searches,yes,2026-04-24,no,no,hunter
Scaffidi & Associates,Manhattan,scaffidilaw.com,roy@scaffidilaw.com,Medical Malpractice Attorney likely missing as additional category - competitors listing it rank for searches you're invisible for,No posts on listing - personal injury firms that post rank above inactive profiles in Manhattan,yes,2026-04-24,no,no,hunter
Berd & Klauss PLLC,Manhattan/Brooklyn,berdklauss.com,aberd@berdklauss.com,Listing shows only general Immigration Attorney - competitors also list Employment-Based Immigration and Family Immigration categories to appear in more searches,No Google posts - almost no immigration firms post so even one signals activity to Google and ranks above inactive profiles,yes,2026-04-27,no,no,scraped
Law Office of Antar P. Jones PLLC,Brooklyn,antarlaw.com,antar@antarlaw.com,Missing additional categories (Probate Attorney / Elder Law Attorney / Real Estate Attorney) - competitors listing these rank for more searches,No Google posts - estate attorneys who post even one update rank above inactive profiles in Brooklyn searches,yes,2026-04-27,no,no,scraped
Law Office of Alena Shautsova,Brooklyn,shautsova.com,office@shautsova.com,Missing additional categories (Employment-Based Immigration / Family Immigration / Asylum) - limits searches it ranks for vs competitors,No Google posts - immigration attorneys posting updates rank above dormant profiles in Brooklyn searches,yes,2026-04-27,no,no,scraped
Arnel Law Firm,Brooklyn,nycdivorceatty.com,carnel@nycdivorceatty.com,Listing shows only Family Law Attorney - competitors also list Divorce Attorney and Child Custody Attorney to appear in more searches,No Google posts - divorce attorneys who post rank above inactive profiles in Brooklyn searches,yes,2026-04-27,no,no,scraped
T.W. Lewis & Co. LLC,Manhattan,twllaw.com,twl@twllaw.com,Missing practice area categories (Tax Preparation Service / Estate Planning Attorney) - ranks for fewer searches than firms listing all practice areas,No Google posts - tax and estate attorneys who post rank above inactive listings in NYC searches,yes,2026-04-27,no,no,scraped
Okarma Law Firm P.C.,Greenpoint Brooklyn,okarmalawfirm.com,edytaokarmaesq@gmail.com,"Site shows real estate, landlord-tenant, and business law, but the Google listing can pick up more searches by adding Real Estate Attorney and Business Attorney as additional categories.","Your site is active, but your Google listing is likely giving up easy visibility because law firms almost never use Google posts.",yes,2026-06-08,no,no,scraped
LATI LAW PLLC,Kings Highway Brooklyn,latilaw.com,MLati@LatiLaw.com,"Your site offers business, commercial, real estate, contract, and intellectual property work, but the Google listing can pick up more searches by adding Business Attorney and Real Estate Attorney as additional categories.","Your contact page offers remote appointments by Zoom and Teams, but that convenience is easy to miss on Google if online appointments are not highlighted on the listing.",yes,2026-06-08,no,no,scraped
Charles G. Fiore P.C.,Lower Manhattan,fiorelawyer.com,charles@fiorelawyer.com,"Your site clearly covers estate, probate, tax, and real estate work, but the Google listing can pick up more searches by adding Probate Attorney and Real Estate Attorney as additional categories.","Your firm publishes articles on estate issues, but your Google listing is likely not getting that same activity signal because law firms almost never post there.",yes,2026-06-08,no,no,hunter
Poch Law,Lower Manhattan,pochlaw.com,howard@pochlaw.com,"Your site is centered on real estate and business disputes, but the Google listing can pick up more searches by adding Real Estate Attorney and Business Attorney as additional categories.","Your office is close to the Manhattan and Brooklyn courts, but that neighborhood-specific value is easy to miss if the Google listing description stays generic.",yes,2026-06-08,no,no,hunter
VISH LAW PLLC,Upper West Side and Lower Manhattan,vishlaw.com,lee@vishlaw.com,"Your site covers wills, probate, real estate closings, and business formation, but the Google listing can pick up more searches by adding Probate Attorney, Real Estate Attorney, and Business Attorney as additional categories.","You have two Manhattan offices and a broad service menu, but that reach is easy to undersell on Google if the listing has no posts and a generic description.",yes,2026-06-08,no,no,hunter
Tsiring & Feldman P.C.,Sheepshead Bay Brooklyn,tsiringlaw.com,alexander@tsiringlaw.com,"Someone looking for immigration help in Sheepshead Bay might not quickly understand that you also handle deportation defense and family law.","Your website makes your immigration, family, real estate, and criminal defense work clearer than your Google Maps page does. So if someone only sees the Google listing, they may not get the full picture.",yes,2026-06-10,no,no,scraped
"Hiller, PC",Manhattan,hillerpc.com,info@hillerpc.com,"Someone looking for business law, zoning, or disability insurance help might not quickly understand you do that work.","Your website makes those practice areas clearer than your Google Maps page does. So if someone only sees the Google listing, they may not get the full picture.",yes,2026-06-10,no,no,scraped
"Fabular, Li & Associates, P.C.",Lower Manhattan,fabularli.com,info@fabularli.com,"Someone looking for a Chinatown real estate closing lawyer might not quickly understand that you also handle immigration matters.","Your website makes the free consultation and Mott Street office clearer than your Google Maps page does. So if someone only sees the Google listing, they may not get the full picture.",yes,2026-06-10,no,no,scraped
"Roger Victor Archibald, PLLC",Crown Heights Brooklyn,brooklynatty.com,rva@brooklynatty.com,"Someone looking for trusts and estates or real estate help might not quickly understand you do that work.","Your website makes the free consultation and your Crown Heights Brooklyn coverage clearer than your Google Maps page does. So if someone only sees the Google listing, they may not get the full picture.",yes,2026-06-10,no,no,hunter
DL Partners,Manhattan,dlpartnerslaw.com,egarcia@dlpartnerslaw.com,"Someone looking for tax or trusts and estates help might not quickly understand that you handle that work.","Your website makes your real estate, corporate, tax, and estate work clearer than your Google Maps page does. So if someone only sees the Google listing, they may not get the full picture.",yes,2026-06-10,no,no,hunter
"Law Office of Steven Riker","Midtown Manhattan","stevenrikerlaw.com","SR@stevenrikerlaw.com","Someone looking for a Midtown lawyer for business deals or real estate closings might not quickly understand you do both.","Your website makes your business transactions, commercial litigation, and Grand Central office much clearer than your Google Maps page does.",yes,2026-06-12,no,no,scraped
"Law Office of Jayson O. Taylor","Crown Heights Brooklyn","jotaylorlaw.com","jot@jotaylorlaw.com","Someone looking for a Crown Heights lawyer for real estate, estate administration, or business matters might not quickly understand you handle all three.","Your website makes online booking and your Crown Heights Brooklyn roots much clearer than your Google Maps page does.",yes,2026-06-12,no,no,scraped
"Pellegrini & Associates, LLC","Midtown Manhattan","pellegrinilaw.nyc","fpellegrini@pellegrinilaw.nyc","Someone looking for a Midtown lawyer for workers compensation or construction accident cases might not quickly understand you focus on both.","Your website makes your free consultation and remote-by-video convenience much clearer than your Google Maps page does.",yes,2026-06-12,no,no,scraped
"COHEN STINE KAPOOR LLP","Midtown Manhattan","csklawny.com","akapoor@csklawny.com","Someone looking for a Midtown family lawyer might not quickly understand you handle complex divorce and custody matters.","Your website makes virtual consultations and around-the-clock support much clearer than your Google Maps page does.",yes,2026-06-12,no,no,scraped
"Shakhnevich Law Group","Sheepshead Bay Brooklyn / Lower Manhattan","accidentaward.com","info@AccidentAward.com","Someone looking for a Sheepshead Bay or Lower Manhattan injury lawyer might not quickly understand you also handle workers compensation and elder care negligence cases.","Your website makes your free consultation and Russian and Georgian language access much clearer than your Google Maps page does.",yes,2026-06-12,no,no,scraped
