business_name,type,city,website,email,gbp_url,finding_1,finding_2,email_sent,sent_date,replied,converted,email_source
Ice Age Mechanical Corp,HVAC,Brooklyn,iceagemechanical.net,nicolas@iceagemechanical.net,,"Your Google listing is too broad for ductless mini split and heat pump searches","Twenty four hour emergency service and financing are on your site, but not doing enough work on Maps",,,,,hunter
MR. AIR NYC,HVAC,Brooklyn,mrairnyc.com,george@mrairnyc.com,,"Your Google listing is leaving mini split and heat pump searches on the table","Brownstone and townhouse install work is a real differentiator, but it is not obvious on Maps",,,,,hunter
Roth & Company LLP,CPA,Brooklyn,rothcocpa.com,aroth@rothcocpa.com,,"Accountant alone misses tax prep, bookkeeping, and payroll searches","Your advisory work is strong on the site, but that value is not pulling through on Maps",,,,,hunter
Families First Chiropractic,chiropractor,Brooklyn,familiesfirstchiropractic.com,drmike@familiesfirstchiropractic.com,,"Your Google listing is missing pregnancy and pediatric chiropractor searches","Laser therapy and myofascial release are on your site, but not helping you win Maps traffic",,,,,hunter
Kornfeld Law Firm,law firm,Brooklyn,kornfeldlawfirm.com,jason@kornfeldlawfirm.com,,"Your Google listing is too broad for estate planning, elder law, and probate searches","Trust administration and real estate law are clear on your site, but that niche value is not pulling through on Maps",yes,2026-06-08,,,hunter
Farkas Law Firm,law firm,Brooklyn,farkaslawfirm.com,mfarkas@farkaslawfirm.com,,"Your Google listing is too broad for white collar, criminal defense, and securities matters","Former prosecutor and trial background are strong on your site, but they are not obvious on Maps",yes,2026-06-08,,,hunter
Liberty Law Firm,law firm,Brooklyn,libertylawny.com,sadaf@libertylawny.com,,"Your Google listing is too broad for immigration, real estate, family, and business law searches","Those practice areas are clear on your site, but they are not doing enough work for you on Maps",yes,2026-06-08,,,scraped
Schapira CPA,CPA,Brooklyn,schapiracpa.com,shragy@schapiracpa.com,,"Accountant alone misses tax planning, cash flow, and advisory searches from manufacturers","Your manufacturing focus is strong on the site, but that specialization is not pulling through on Maps",yes,2026-06-08,,,hunter
Martin Friedman CPA,CPA,Brooklyn,mfandco.com,sfogel@mfandco.com,,"Accountant alone misses health care reimbursement, audit, and consulting searches","Your health care focus is clear on the site, but that specialization is not carrying enough weight on Maps",yes,2026-06-08,,,hunter
Flower of Life Chiropractic,chiropractor,Brooklyn,folcny.com,info.folcny@gmail.com,,"Someone looking for pregnancy or pediatric chiropractic care might not quickly understand that is a big part of what you do","Your website makes your prenatal, pediatric, and family focus much clearer than your Google Maps page does",yes,2026-06-10,,,scraped
Brooklyn Queens HVAC,HVAC,Brooklyn,brooklynqueenshvac.com,brooklynqueenshvac@gmail.com,,"Someone looking for boiler work or air duct work might not quickly understand you handle both","Your website makes your heating, cooling, and duct work range much clearer than your Google Maps page does",yes,2026-06-10,,,scraped
Dubno & Goodman PLLC,law firm,Brooklyn,dubnogoodman.com,bobdubno@gmail.com,,"Someone looking for a real estate lawyer might not quickly understand how focused you are on property transactions","Your website makes your real estate work much clearer than your Google Maps page does",yes,2026-06-10,,,scraped
The Stein Law Firm,law firm,Brooklyn,lawyer4realestate.com,IreneSteinEsq@gmail.com,,"Someone looking for help with a co-op, condo, or home closing might not quickly understand how focused your practice is on that work","Your website makes your buyer, seller, and lender focus much clearer than your Google Maps page does",yes,2026-06-10,,,scraped
Mainline Partners Inc.,CPA,Brooklyn,mainlinepartners.com,info@mainlinepartners.com,,"Someone looking for payroll, bookkeeping, or tax problem help might not quickly understand you do all three","Your website makes your small business and tax resolution work much clearer than your Google Maps page does",yes,2026-06-10,,,scraped
"Brooklyn Integrative Health Care",chiropractor,Brooklyn,brooklyn-integrative.com,humlwellness@gmail.com,,"Someone looking for massage therapy or non-surgical back pain help might not quickly understand you offer both","Your website makes spinal decompression, whiplash, and injury treatment much clearer than your Google Maps page does",yes,2026-06-12,,,scraped
"Brownstone Heating & Air Conditioning",HVAC,Brooklyn,brownstoneheatingac.com,brownstonehvac@gmail.com,,"Someone looking for mini split help or same-day repair might not quickly understand that is a big part of what you do","Your website makes your older Brooklyn building experience and straightforward repair approach much clearer than your Google Maps page does",yes,2026-06-12,,,scraped
"CF Joseph, CPA, P.C.",CPA,Brooklyn,cpapen.com,info@cfjcpapc.com,,"Someone looking for bookkeeping or payroll help might not quickly understand you handle both","Your website makes your wider accounting, tax, and advisory work much clearer than your Google Maps page does",yes,2026-06-12,,,scraped
"Law Office of I. Vincent Eke-Nweke, P.C.",law firm,Brooklyn,vekenwekelaw.com,vekenweke@aol.com,,"Someone looking for help with civil rights, medical malpractice, or employment discrimination might not quickly understand you do that work","Your website makes those practice areas much clearer than your Google Maps page does",yes,2026-06-12,,,scraped
"Stanley Harris, DDS, PC",dentist,Brooklyn,dentalbrooklynheights.com,stanleyharrisdds@gmail.com,,"Someone looking for implants, dentures, or an emergency dentist might not quickly understand you offer all three","Your website does a much better job showing your restorative and cosmetic work than your Google Maps page does",yes,2026-06-12,,,scraped
